Taxonomy	BRK01B	BRK02A	BRK02B	BRK03A	BRK04A	BRK04B	BRK05A	BRK05B	BRK06A	BRK06B	BRK07A	BRK07B	BRK08A	BRK08B	BRK09A	BRK09B	BRK100A	BRK100B	BRK101A	BRK101B	BRK102A	BRK102B	BRK103A	BRK103B	BRK104A	BRK104B	BRK105A	BRK105B	BRK106A	BRK106B	BRK107A	BRK107B	BRK108A	BRK108B	BRK109A	BRK109B	BRK10A	BRK10B	BRK110A	BRK110B	BRK111A	BRK111B	BRK112A	BRK112B	BRK113B	BRK114A	BRK114B	BRK115A	BRK115B	BRK116A	BRK116B	BRK117A	BRK117B	BRK118A	BRK118B	BRK119A	BRK119B	BRK11A	BRK11B	BRK120A	BRK120B	BRK121A	BRK121B	BRK122A	BRK122B	BRK123A	BRK123B	BRK124A	BRK124B	BRK125A	BRK125B	BRK126A	BRK126B	BRK127A	BRK128A	BRK128B	BRK129A	BRK129B	BRK12A	BRK12B	BRK130A	BRK130B	BRK131A	BRK131B	BRK132A	BRK132B	BRK133A	BRK133B	BRK134B	BRK135A	BRK135B	BRK136A	BRK136B	BRK137A	BRK137B	BRK138A	BRK138B	BRK139A	BRK139B	BRK13A	BRK13B	BRK140A	BRK140B	BRK141A	BRK141B	BRK142A	BRK142B	BRK143A	BRK143B	BRK144A	BRK144B	BRK145A	BRK145B	BRK146A	BRK146B	BRK147A	BRK147B	BRK148A	BRK148B	BRK149A	BRK149B	BRK14A	BRK14B	BRK150A	BRK150B	BRK151A	BRK151B	BRK152A	BRK152B	BRK153A	BRK153B	BRK154A	BRK154B	BRK155A	BRK155B	BRK156A	BRK156B	BRK157A	BRK157B	BRK158A	BRK158B	BRK159A	BRK159B	BRK15A	BRK15B	BRK160A	BRK160B	BRK161A	BRK161B	BRK162A	BRK162B	BRK163A	BRK163B	BRK164A	BRK164B	BRK165A	BRK165B	BRK166A	BRK166B	BRK167A	BRK167B	BRK168B	BRK169A	BRK169B	BRK16A	BRK16B	BRK170A	BRK170B	BRK171A	BRK171B	BRK172A	BRK172B	BRK173A	BRK173B	BRK174A	BRK174B	BRK175A	BRK175B	BRK176A	BRK176B	BRK177A	BRK177B	BRK178A	BRK178B	BRK179A	BRK179B	BRK17B	BRK180A	BRK181A	BRK182A	BRK183A	BRK184A	BRK185A	BRK186A	BRK187A	BRK188A	BRK189A	BRK18A	BRK18B	BRK190A	BRK191A	BRK19A	BRK19B	BRK20A	BRK20B	BRK21A	BRK21B	BRK22A	BRK22B	BRK23A	BRK23B	BRK24A	BRK24B	BRK25A	BRK25B	BRK26A	BRK26B	BRK27A	BRK27B	BRK28A	BRK28B	BRK29A	BRK29B	BRK30A	BRK30B	BRK31A	BRK31B	BRK32B	BRK33A	BRK33B	BRK34A	BRK34B	BRK35A	BRK36A	BRK36B	BRK37A	BRK37B	BRK38A	BRK38B	BRK39B	BRK40A	BRK40B	BRK41A	BRK41B	BRK42A	BRK42B	BRK43A	BRK43B	BRK44A	BRK44B	BRK45A	BRK45B	BRK46A	BRK46B	BRK47A	BRK47B	BRK48A	BRK48B	BRK49A	BRK49B	BRK50A	BRK50B	BRK51A	BRK51B	BRK52A	BRK52B	BRK53A	BRK53B	BRK54A	BRK54B	BRK55A	BRK55B	BRK56A	BRK56B	BRK57A	BRK57B	BRK58A	BRK58B	BRK59A	BRK60A	BRK61A	BRK62A	BRK63A	BRK64A	BRK65A	BRK67A	BRK68A	BRK69A	BRK70A	BRK71A	BRK72A	BRK73A	BRK74A	BRK75A	BRK76A	BRK77A	BRK78A	BRK79A	BRK80A	BRK81A	BRK82A	BRK83A	BRK84A	BRK85A	BRK86A	BRK87A	BRK88A	BRK89A	BRK90A	BRK91A	BRK92A	BRK93A	BRK94A	BRK95A	BRK97A	BRK97B	BRK98A	BRK98B	BRK99B	#OTU ID
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;__	55	4	42	14185	8661	6	9827	69	8695	63	9	58	4	61	10	70	8	546	846	66	6324	42	6004	47	6336	2871	6434	41	7083	3243	6704	541	7453	492	6819	3117	5160	52	6607	521	6131	43	6900	561	2948	14	377	688	43	714	2482	578	49	5960	46	5680	59	6343	52	5197	355	5141	559	6353	46	6310	2609	5521	3027	4757	58	6093	488	7135	5796	444	6179	427	4102	59	648	2678	333	2685	3	51	39	7187	7099	18	7383	16	5910	38	7784	31	8455	25	5742	56	55	36	6532	41	2464	35	4550	37	4617	37	5969	50	2185	7	956	50	1269	37	2744	61	1170	72	32	46	4752	47	4639	59	1410	43	2175	75	2284	54	3630	62	3359	57	3053	52	3414	46	3753	67	40	50	5763	46	5506	70	8548	2	575	54	2835	40	3814	67	3314	60	1426	807	7	1318	65	41	54	600	46	691	68	690	43	985	39	631	0	108	15	1149	29	1526	23	1060	20	815	72	30	45	30	19	37	35	36	56	47	55	8	56	42	36	11057	32	11029	54	6922	52	15657	48	8583	74	9	47	7433	83	12708	52	5413	50	104	53	44	46	255	26	1573	37	26	10	39	6522	29	4088	4397	10	6473	31	5931	25	32	4374	42	4954	39	8110	42	6	29	11423	53	3	75	9	26	15	42	8619	50	9267	50	11	54	10880	64	10786	34	7	46	6890	56	44	45	5942	63	34	60	61	29	56	5075	5057	78	7161	8214	60	6	10205	9690	8487	8207	12183	9209	13	4736	4744	4727	4894	3150	7237	74	661	400	712	5675	5246	5017	1649	3373	6947	5932	4496	4716	4986	1988	843	2526	698	546	2931	OTU1
k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacteriaceae members;__	39	6161	29	8669	13589	4727	6266	39	11333	175	27957	39	15107	48	23586	53	4677	981	305	2201	992	2199	912	3899	1203	20	874	2419	889	3972	1028	2032	1168	956	875	18	3384	33	856	1124	988	2319	1088	1067	2108	6033	1230	302	523	297	2919	275	2120	766	544	946	2255	2561	135	718	113	590	1296	739	505	813	2620	946	18	584	1638	811	778	822	847	120	809	104	3291	28	197	2062	11	2295	17	2466	224	753	763	4487	508	19	709	19	494	23	610	23	624	6722	46	68	1614	86	307	72	491	98	605	60	1007	53	266	14	126	64	209	64	620	49	197	8912	39	72	996	50	395	75	217	51	571	79	534	62	1400	62	899	46	499	63	999	52	748	10047	31	47	459	27	1192	57	851	4	67	30	518	42	535	54	626	38	445	55	4231	16	7673	147	38	33	38	23	48	25	26	25	27	30	0	7	8	29	12	50	19	53	17	19	34	47	39	56	33	31	53	35	57	40	35	18377	21	47	19	1915	28	7173	28	8078	150	2360	31	9580	30	25321	34	8786	19	5918	87	694	25	9780	23	225	23	43	15	16	6	14	3842	125	957	74	2992	3654	5262	942	98	4116	51	37	4302	50	2048	64	6008	43	12541	40	2590	73	10172	77	25843	52	26211	75	8661	42	6760	37	27358	59	2279	43	2152	33	8895	32	3733	39	6143	44	1036	38	6522	19	7543	22	9059	3336	2537	8439	1234	1210	7027	5411	7469	6891	6867	6428	9406	5137	22014	2277	1999	2469	2811	1204	2522	5933	251	100	264	713	708	623	206	389	808	843	506	565	511	255	316	1894	304	901	1575	OTU2
k__Bacillati;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae members;__	4021	9	4979	65	517	20	47	4604	411	4983	35	5281	20	4341	37	4939	26	2852	2429	1666	3724	2000	2253	2015	2731	1655	3960	2218	3447	1273	3838	2834	2882	2296	3286	1035	2373	4828	3786	2664	3721	2520	3087	2867	988	17	2870	3504	1894	2902	1287	3408	2075	3191	2078	2915	1176	2388	5212	3132	3231	2063	1914	4202	2190	3354	1123	2608	1467	2919	1294	3935	2441	2573	3705	2402	2941	2710	1563	4378	2731	1353	5039	1248	4795	1904	2752	761	1203	23	1267	3705	1366	3687	1499	3956	1141	3981	753	2079	3114	4203	1391	3360	178	4529	940	3250	882	5448	618	4586	338	911	96	4791	219	5710	631	5084	152	2641	5161	5557	835	5100	223	4502	194	4623	449	4269	435	6338	1157	4564	1380	4054	754	4226	1133	7048	887	2941	4967	4569	696	2452	872	4215	771	632	81	3681	926	3788	881	4139	485	6653	431	2323	8	2286	2220	5008	4095	3185	3437	2775	4369	2726	6472	1877	3573	2890	255	456	2752	2296	2669	2073	3734	2987	1832	1767	4275	4089	3184	3327	2188	4455	4722	4464	4047	4085	4171	44	4192	4544	2386	178	6138	41	4180	553	4561	79	4749	128	3902	60	6889	429	3839	161	4656	1352	3952	2611	3035	4001	6933	3330	3602	1849	3167	4000	15	3772	1837	4657	1527	2194	31	1399	3863	2034	4710	5170	1830	4995	2076	5157	327	4459	46	4796	122	4444	87	3979	84	5845	79	4160	593	4930	285	5104	64	4478	97	4605	58	6249	95	3946	2288	4469	3432	6458	1278	3215	4087	3258	4232	6781	3403	1885	1796	2574	1642	1502	2298	9	518	31	389	416	53	49	61	1556	1861	1369	1996	831	1818	2102	2635	537	2760	1906	2005	1813	1177	2279	3260	2411	1942	2276	2676	763	2234	1086	2959	2963	1142	OTU3
k__Bacillati;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;__	2786	2	2931	23	1071	11	31	1519	1063	2039	46	1815	31	2155	129	1608	7	863	1914	1402	1679	1259	1341	1089	1616	684	2324	1077	1568	593	1609	595	2091	784	1853	699	855	3268	1648	732	1788	1113	1796	945	534	10	1137	1949	1330	1995	847	1822	1105	1766	1292	1654	1109	214	3610	1470	1127	1766	1227	1754	1500	2087	1080	1683	998	1676	1479	2084	1169	2261	1703	1211	2121	1007	902	3474	2080	886	2134	819	931	1140	1411	627	634	9	540	1213	632	1268	701	1241	512	1248	300	963	3190	3800	513	3384	341	3293	442	3530	681	2225	808	2414	298	443	92	2710	216	2293	270	2331	187	1165	3122	2197	506	2123	516	1656	225	1303	407	1430	482	928	860	2458	784	2185	657	3790	689	2066	528	1117	3161	2919	664	1382	820	2617	1140	161	55	3271	759	2832	634	2749	439	2031	275	794	6	1211	978	2386	2948	356	2422	791	1002	1067	2013	637	1308	1574	115	42	947	1101	1326	1206	1308	2188	2086	1162	2744	4114	3850	3696	2343	2768	2385	2863	2354	3009	2708	44	1339	2787	2026	62	2264	6	3844	1439	2569	21	3043	95	1939	47	2437	807	2155	61	1208	123	1485	1092	1523	1591	1009	920	1495	454	1577	1446	7	3721	178	4634	724	1377	16	183	3908	485	2401	2485	972	2374	191	2655	1032	2434	124	2361	28	1699	152	1354	150	1403	155	3435	1616	1665	769	2736	101	1911	25	727	12	2169	128	1953	1360	836	1073	2277	167	578	968	877	1114	1041	1176	1245	813	1208	212	155	918	1	782	14	737	1290	15	18	39	693	179	667	1095	121	309	806	1886	1012	1931	1836	1601	1675	548	927	1989	2100	1487	1547	1791	662	1893	805	2137	916	789	OTU4
k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;__	648	256	618	46	16	179	35	1225	12	975	7	975	5	593	5	1010	193	2060	2783	1402	325	1425	388	1190	798	2361	436	1420	546	2013	511	1961	408	2497	642	2678	172	950	554	2158	542	1225	669	2181	2352	173	2103	2972	1372	2795	2366	3049	1304	481	1382	496	899	398	908	501	1965	341	2022	440	1391	499	2314	391	2454	367	1256	554	2059	443	420	2225	754	2192	38	1041	2535	2275	2547	2284	525	1205	1456	434	769	156	573	5656	467	5399	587	5478	484	5287	153	16	450	3596	593	3482	155	3741	444	3618	539	1816	176	839	160	302	24	2003	110	1233	172	849	114	7	925	1331	331	1335	125	2038	53	1283	322	1728	228	1493	860	1440	864	1093	640	543	539	1029	389	8	1386	2294	367	1102	575	688	734	120	28	1468	858	1170	667	302	290	1327	200	2833	202	1532	14	1473	934	1229	1022	1367	203	2659	1611	2508	4234	1850	362	188	3639	2916	4568	599	4816	1764	1942	1113	1493	3464	3745	3853	2109	1150	845	1223	698	1261	1012	1	520	572	556	36	1528	18	758	19	720	16	605	13	150	11	798	12	344	43	414	142	489	10	56	1379	821	2084	5515	1441	5225	5472	176	3039	249	2654	36	47	203	159	3340	53	1762	1011	38	1920	235	974	13	379	1	1135	15	1022	4	735	1	920	9	760	12	715	13	722	5	1067	21	1139	7	1201	6	463	64	384	8	733	116	225	8	175	5	570	13	49	36	15	149	119	12	191	21	6	13	10	21	14	6	38	173	35	61	157	229	16	2745	1317	2975	692	426	604	149	271	625	599	426	515	645	221	2772	2510	3049	2224	2370	OTU5
k__Pseudomonadati;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;__	1362	6	1172	49	418	4	37	1771	260	1827	324	1851	140	1470	448	1790	2	219	53	1054	42	1011	40	1068	19	143	51	1011	39	89	38	186	47	245	41	130	978	1556	61	230	42	978	36	283	119	3	185	97	904	52	85	86	1074	49	984	37	692	1063	1258	46	176	27	231	45	867	44	124	43	99	45	803	48	180	49	44	235	27	227	793	1288	58	89	36	85	253	1103	1064	5	11	1	8	448	10	516	12	420	6	480	3	1603	885	1738	9	1935	0	2101	5	1899	4	1691	2	1558	2	295	0	1503	1	1936	2	1939	1	2166	1601	2089	5	1680	1	2644	0	2945	0	2506	3	2636	4	2559	10	2721	3	1821	4	2251	3	2144	1442	2092	3	1179	4	1342	8	196	0	1423	2	1002	3	779	0	1249	10	673	3	708	1656	1598	871	655	762	466	687	718	959	522	384	582	28	120	386	868	485	537	468	745	722	451	1435	1337	1263	1279	903	972	1203	986	1320	1070	1193	196	1050	979	893	33	1273	29	768	249	787	22	725	110	497	272	885	299	498	41	572	396	671	1958	466	1089	662	145	510	63	459	456	3	1559	452	720	869	843	3	393	1859	948	1977	2083	1057	1744	688	1821	173	2199	230	1598	18	2814	333	2560	587	2373	403	2260	272	1889	153	2035	240	1995	26	1076	10	1711	296	1243	1146	579	1394	1229	564	942	1511	431	1548	749	1680	1095	822	1593	658	617	1540	1	214	24	139	191	28	31	127	743	987	892	823	516	1015	1286	46	2	58	33	22	19	13	11	33	25	25	18	22	12	57	82	57	185	109	OTU6
k__Pseudomonadati;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__	897	136	934	20	49	61	17	1356	28	1345	107	1435	45	1517	117	1292	65	129	772	296	1123	278	1086	361	978	409	819	368	1211	272	960	131	1171	125	1076	153	590	1238	1046	110	991	365	1149	135	176	71	102	866	371	912	160	989	412	840	439	1004	212	1021	1196	860	87	826	67	884	381	961	118	1042	137	723	270	921	86	938	873	94	940	117	259	1131	812	158	435	162	165	461	434	1138	1184	55	1244	209	910	250	999	256	990	270	298	942	845	671	654	677	295	798	621	612	890	903	545	945	614	220	66	854	106	1120	186	1129	129	1431	1226	1562	611	1176	165	1305	109	1683	388	1840	819	1539	952	1484	1147	1755	835	1386	522	1673	1167	1410	1229	1188	386	761	917	1370	599	118	71	763	857	903	940	1025	415	780	5	1309	91	1020	1352	1215	468	1764	410	775	1017	1437	426	1147	207	963	12	255	187	1186	211	765	238	824	237	516	839	634	498	539	358	627	856	715	847	688	733	66	1063	788	506	33	933	13	654	46	814	12	589	28	750	65	582	50	474	34	758	443	495	1531	573	421	500	102	223	215	221	209	82	743	538	628	319	319	68	488	646	488	1128	1359	417	1015	658	1239	42	1283	88	933	18	1843	101	1455	195	1446	135	1174	67	1348	36	943	98	1043	21	850	9	1059	107	636	456	647	704	616	587	499	1049	402	1269	356	1385	378	318	1363	823	696	963	93	40	21	31	31	19	11	62	273	890	375	327	405	852	746	537	199	890	752	784	636	183	336	696	752	594	623	627	224	787	134	650	113	112	OTU7
k__Bacillati;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__wexlerae DSM 19850	1422	0	1740	5	141	0	6	808	111	1023	14	941	5	1209	25	855	1	227	383	397	306	464	268	375	364	109	550	440	319	105	348	131	428	184	379	106	97	2000	354	161	437	441	423	230	60	2	309	477	673	517	174	482	573	346	574	318	469	71	2081	304	258	327	388	393	673	437	187	292	150	330	766	461	329	344	445	325	348	226	75	1887	560	158	541	110	152	491	403	178	258	1	207	436	296	429	370	407	248	351	128	404	1943	1699	161	1196	80	1498	203	1132	188	1638	339	1446	106	260	17	1651	77	1619	126	1325	71	499	2319	1348	156	1148	110	733	69	850	144	674	129	398	270	1525	292	1521	209	2126	287	1423	248	468	2510	2146	240	874	280	1562	345	108	20	2245	283	1960	256	1511	207	1054	41	634	0	682	324	1778	2192	291	1294	505	509	981	988	419	473	1637	45	43	355	983	448	950	481	1924	867	860	1818	1932	1252	1342	855	1814	1563	1781	1180	1677	1545	17	952	1773	962	11	1225	2	2916	207	1874	9	2472	9	1150	17	1509	98	1068	19	612	25	729	408	948	336	417	191	520	68	500	491	3	1447	39	2116	90	198	1	40	1691	29	1743	1443	117	1484	40	1923	152	1650	24	1729	6	1002	29	811	52	915	33	2236	257	1054	67	1616	19	1389	4	394	0	1271	26	1288	174	472	311	1249	23	303	298	502	366	585	384	158	72	423	35	18	367	1	92	2	96	186	1	4	13	62	38	83	131	16	50	262	501	201	523	386	434	452	136	200	478	500	399	409	447	115	472	127	481	222	118	OTU8
k__Pseudomonadati;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Segatella;__	1983	1	2354	2	89	1	0	1290	58	1045	1	1214	0	2201	1	1637	1	3923	5	859	0	806	7	960	0	5	5	903	6	9	8	4083	9	3285	4	5	800	1214	5	4439	1	1066	2	4422	1	3	3650	7	1540	5	3	6	1416	7	1573	4	969	8	857	4	3849	4	2656	4	1642	6	4	3	6	2	1392	3	3488	4	5	3391	2	3376	1384	1035	6	2	9	3	2	1840	2231	3	3	2	2	2175	3	2141	3	2054	1	2143	5	7	2488	426	1	501	0	408	2	454	4	1125	1	1419	0	204	0	1673	1	879	1	1050	1	12	1461	786	0	1748	0	637	1	815	0	498	1	1408	2	722	3	1033	0	476	0	801	0	10	324	229	3	390	0	210	4	5	0	233	5	446	2	133	1	115	39	83	1	70	8	301	65	34	13	51	51	121	23	122	2727	110	187	22	2115	69	2450	35	2802	93	577	38	401	712	840	862	606	2450	2941	2542	2165	2170	1589	4	849	2583	1449	2	474	2	283	72	206	0	201	11	138	3	319	47	70	2	48	2	76	10	23	1090	59	3423	1550	2	1227	1450	1	263	2	122	1317	1614	1	3	376	1524	1312	886	1559	1768	3	1136	23	1112	0	1898	3	1313	0	1362	1	1492	1	874	79	902	27	762	2	581	1	519	1	276	0	365	1346	140	21	173	1	46	8	49	15	24	20	1264	1486	25	2	6	15	1	42	0	33	57	1	2	4	942	8	899	1495	0	3	71	1	1	3	3	4	4	0	3	4	1	3	4	2	1	3	2	3	4182	1	OTU9
k__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Oscillospiraceae members;__	1813	10	1656	164	131	33	112	3461	127	3110	35	3391	19	3476	49	3181	11	2462	5914	2867	952	2694	806	2329	1132	4747	863	2655	947	4154	926	2438	1049	2615	988	5315	1738	3437	977	2394	914	2508	858	2287	4800	16	2579	6065	3319	5999	3998	6092	2635	874	2935	957	2202	3591	3255	799	2619	764	2961	992	3292	972	4389	770	4374	745	3195	966	2474	876	993	2822	1074	2724	441	3516	6058	4385	2215	4766	6265	2652	2472	719	886	21	841	1717	795	1879	1030	1859	937	1681	540	704	4094	855	701	1002	319	806	630	999	783	1049	896	871	319	152	113	937	236	1539	392	1608	217	872	3140	1736	714	1386	478	3081	230	3275	387	3702	471	2684	842	3469	1125	3637	494	3703	622	3159	869	710	4148	4150	646	3198	965	6192	1012	366	84	6064	704	7301	894	7727	653	5847	10138	3751	11	4469	639	4423	8780	3011	10040	2498	11188	3230	7544	2805	1335	5786	130	483	1328	3133	1587	4629	1743	6409	502	3396	4733	933	959	844	557	1083	1222	1040	1082	1159	1916	30	6629	1504	1361	140	4495	63	5996	104	6099	94	6679	89	8214	47	5313	150	9508	188	9706	1734	9605	728	12098	2432	8476	1819	1739	3877	1819	1592	18	903	2145	884	372	487	26	2062	983	589	908	1004	450	1045	2181	1453	118	1776	26	1532	88	2941	47	3708	53	2902	74	3427	205	5233	154	3637	57	6079	134	8758	86	5183	50	8333	591	11725	485	5981	1758	12824	460	14047	486	9302	639	564	510	697	2181	2055	525	9	208	46	131	127	46	69	43	402	2165	401	475	1719	2638	410	5456	2969	5987	867	910	755	292	746	1108	965	790	805	938	358	5985	5231	6020	2435	4820	OTU10
