PumpTask	TimePoint	ExpectedPH	ActualPH	DidPump	PumpMultiplier
1	2024-02-08 14.53.19	5.700000045	5.752699784	FALSE	0
2	2024-02-08 14.53.20	5.700010856	5.69197397	TRUE	1
3	2024-02-08 14.53.22	5.700027028	5.69924406	TRUE	1
4	2024-02-08 14.53.23	5.700043158	5.708652793	FALSE	0
5	2024-02-08 14.53.25	5.700054069	5.646677472	TRUE	1
6	2024-02-08 14.53.26	5.700070232	5.700211864	FALSE	0
7	2024-02-08 14.53.27	5.700081147	5.679019074	TRUE	1
8	2024-02-08 14.53.29	5.700097313	5.677589852	TRUE	1
9	2024-02-08 14.53.30	5.700113452	5.648953301	TRUE	1
10	2024-02-08 14.53.31	5.700129587	5.730893434	FALSE	0
11	2024-02-08 14.53.32	5.700140515	5.703485255	FALSE	0
12	2024-02-08 14.53.33	5.700151451	5.722820237	FALSE	0
1	2024-02-08 14.54.20	5.700635864	5.749460043	FALSE	0
2	2024-02-08 14.54.21	5.700652034	5.768438178	FALSE	0
3	2024-02-08 14.54.23	5.700668161	5.69762419	TRUE	1
4	2024-02-08 14.54.24	5.700684255	5.707009858	FALSE	0
5	2024-02-08 14.54.26	5.700695229	5.646677472	TRUE	1
6	2024-02-08 14.54.28	5.700711375	5.700211864	TRUE	1
7	2024-02-08 14.54.29	5.700727517	5.675749319	TRUE	1
8	2024-02-08 14.54.31	5.700743639	5.679175476	TRUE	1
9	2024-02-08 14.54.32	5.700759797	5.647342995	TRUE	1
10	2024-02-08 14.54.33	5.70077593	5.729278794	FALSE	0
11	2024-02-08 14.54.34	5.700786865	5.727613941	FALSE	0
12	2024-02-08 14.54.35	5.700797806	5.721205597	FALSE	0
1	2024-02-08 14.55.21	5.70127177	5.747840173	FALSE	0
2	2024-02-08 14.55.22	5.701287901	5.760303688	FALSE	0
3	2024-02-08 14.55.24	5.701309268	5.718682505	FALSE	0
4	2024-02-08 14.55.26	5.701320203	5.703723987	FALSE	0
5	2024-02-08 14.55.28	5.701336382	5.645056726	TRUE	1
6	2024-02-08 14.55.33	5.70135254	5.697033898	TRUE	1
7	2024-02-08 14.55.35	5.701411328	5.672479564	TRUE	1
8	2024-02-08 14.55.36	5.701427465	5.676004228	TRUE	1
9	2024-02-08 14.55.38	5.701443628	5.644122383	TRUE	1
10	2024-02-08 14.55.39	5.70145976	5.726049516	FALSE	0
11	2024-02-08 14.55.40	5.701470673	5.690616622	TRUE	1
12	2024-02-08 14.55.42	5.701486852	5.721205597	FALSE	0
1	2024-02-08 14.56.22	5.701907664	5.744600432	FALSE	0
2	2024-02-08 14.56.23	5.701923821	5.755422993	FALSE	0
3	2024-02-08 14.56.26	5.701945165	5.726781857	FALSE	0
4	2024-02-08 14.56.27	5.701956112	5.705366922	FALSE	0
5	2024-02-08 14.56.29	5.70197749	5.632090762	TRUE	1
6	2024-02-08 14.56.35	5.702036327	5.693855932	TRUE	1
7	2024-02-08 14.56.36	5.702052469	5.669209809	TRUE	1
8	2024-02-08 14.56.38	5.702068645	5.674418605	TRUE	1
9	2024-02-08 14.56.39	5.702084762	5.642512077	TRUE	1
10	2024-02-08 14.56.40	5.702100865	5.722820237	FALSE	0
11	2024-02-08 14.56.42	5.702111837	5.687399464	TRUE	1
12	2024-02-08 14.56.43	5.702127958	5.716361679	FALSE	0
1	2024-02-08 14.57.23	5.702543607	5.744600432	FALSE	0
2	2024-02-08 14.57.25	5.702559831	5.822125813	FALSE	0
3	2024-02-08 14.57.27	5.702581077	5.713822894	FALSE	0
4	2024-02-08 14.57.28	5.702592026	5.698795181	TRUE	1
5	2024-02-08 14.57.31	5.70261859	5.638573744	TRUE	1
6	2024-02-08 14.57.36	5.70267746	5.716101695	FALSE	0
7	2024-02-08 14.57.38	5.702693588	5.652861035	TRUE	1
8	2024-02-08 14.57.39	5.702709754	5.674418605	TRUE	1
9	2024-02-08 14.57.41	5.702725873	5.640901771	TRUE	1
10	2024-02-08 14.57.42	5.702741995	5.721205597	FALSE	0
11	2024-02-08 14.57.43	5.702752961	5.706702413	FALSE	0
12	2024-02-08 14.57.44	5.702763882	5.7131324	FALSE	0
1	2024-02-08 14.58.24	5.703179478	5.73812095	FALSE	0
2	2024-02-08 14.58.26	5.703196172	5.779826464	FALSE	0
3	2024-02-08 14.58.28	5.703216963	5.712203024	FALSE	0
4	2024-02-08 14.58.30	5.703233148	5.697152245	TRUE	1
5	2024-02-08 14.58.32	5.703259727	5.638573744	TRUE	1
6	2024-02-08 14.58.37	5.703313358	5.714512712	FALSE	0
7	2024-02-08 14.58.39	5.703334729	5.651226158	TRUE	1
8	2024-02-08 14.58.41	5.703351361	5.682346723	TRUE	1
9	2024-02-08 14.58.43	5.70336766	5.639291465	TRUE	1
10	2024-02-08 14.58.44	5.703384168	5.719590958	FALSE	0
11	2024-02-08 14.58.45	5.703395038	5.709919571	FALSE	0
12	2024-02-08 14.58.46	5.703405992	5.71474704	FALSE	0
1	2024-02-08 14.59.25	5.703815405	5.739740821	FALSE	0
2	2024-02-08 14.59.27	5.703832056	5.768438178	FALSE	0
3	2024-02-08 14.59.29	5.703852883	5.708963283	FALSE	0
4	2024-02-08 14.59.31	5.703874263	5.693866375	TRUE	1
5	2024-02-08 14.59.34	5.703900825	5.635332253	TRUE	1
6	2024-02-08 14.59.38	5.703949215	5.712923729	FALSE	0
7	2024-02-08 14.59.41	5.703976376	5.651226158	TRUE	1
8	2024-02-08 14.59.47	5.703992978	5.696617336	TRUE	1
9	2024-02-08 14.59.48	5.704051792	5.645732689	TRUE	1
10	2024-02-08 14.59.49	5.704067956	5.711517761	FALSE	0
11	2024-02-08 14.59.51	5.704078847	5.701876676	TRUE	1
12	2024-02-08 14.59.52	5.704095044	5.705059203	FALSE	0
1	2024-02-08 15.00.26	5.704451315	5.73812095	FALSE	0
2	2024-02-08 15.00.28	5.704467961	5.763557484	FALSE	0
3	2024-02-08 15.00.30	5.704488776	5.705723542	FALSE	0
4	2024-02-08 15.00.33	5.704515365	5.692223439	TRUE	1
5	2024-02-08 15.00.35	5.704541926	5.630470016	TRUE	1
6	2024-02-08 15.00.39	5.704585121	5.709745763	FALSE	0
7	2024-02-08 15.00.43	5.704617982	5.651226158	TRUE	1
8	2024-02-08 15.00.52	5.704676801	5.717230444	FALSE	0
9	2024-02-08 15.00.53	5.704730372	5.642512077	TRUE	1
10	2024-02-08 15.00.54	5.704746565	5.711517761	FALSE	0
11	2024-02-08 15.01.00	5.704757484	5.724396783	FALSE	0
12	2024-02-08 15.01.01	5.704811147	5.703444564	TRUE	1
1	2024-02-08 15.01.27	5.705087734	5.73488121	FALSE	0
2	2024-02-08 15.01.29	5.705103874	5.760303688	FALSE	0
3	2024-02-08 15.01.31	5.705124703	5.704103672	TRUE	1
4	2024-02-08 15.01.34	5.705156467	5.690580504	TRUE	1
5	2024-02-08 15.01.37	5.705183036	5.628849271	TRUE	1
6	2024-02-08 15.01.40	5.705221026	5.706567797	FALSE	0
7	2024-02-08 15.01.44	5.705259583	5.647956403	TRUE	1
8	2024-02-08 15.01.53	5.705355396	5.725158562	FALSE	0
9	2024-02-08 15.01.55	5.705371576	5.642512077	TRUE	1
10	2024-02-08 15.01.56	5.705388178	5.709903122	FALSE	0
11	2024-02-08 15.02.01	5.705436151	5.721179625	FALSE	0
12	2024-02-08 15.02.03	5.705452304	5.700215285	TRUE	1
1	2024-02-08 15.02.28	5.705723645	5.730021598	FALSE	0
2	2024-02-08 15.02.30	5.705739791	5.75867679	FALSE	0
3	2024-02-08 15.02.33	5.705765816	5.700863931	TRUE	1
4	2024-02-08 15.02.36	5.705797596	5.687294633	TRUE	1
5	2024-02-08 15.02.38	5.705824147	5.635332253	TRUE	1
6	2024-02-08 15.02.42	5.705856929	5.703389831	TRUE	1
7	2024-02-08 15.02.46	5.705900706	5.644686649	TRUE	1
8	2024-02-08 15.02.54	5.705991296	5.721987315	FALSE	0
9	2024-02-08 15.02.57	5.706013189	5.642512077	TRUE	1
10	2024-02-08 15.02.58	5.706029311	5.706673843	FALSE	0
11	2024-02-08 15.03.02	5.706072543	5.717962466	FALSE	0
