PumpTask	TimePoint	ExpectedPH	ActualPH	DidPump	PumpMultiplier
8	2024-06-10 10.38.50	6	6.044776119	FALSE	0
9	2024-06-10 10.38.51	6	6.003355705	FALSE	0
10	2024-06-10 10.38.52	6	6.083100948	FALSE	0
11	2024-06-10 10.38.54	6	5.976424361	TRUE	1
12	2024-06-10 10.38.55	6	5.957174638	TRUE	1
8	2024-06-10 10.39.51	6	6.039800995	FALSE	0
9	2024-06-10 10.39.53	6	5.998322148	TRUE	1
10	2024-06-10 10.39.54	6	6.083100948	FALSE	0
11	2024-06-10 10.39.55	6	5.974459725	TRUE	1
12	2024-06-10 10.39.57	6	5.953837597	TRUE	1
8	2024-06-10 10.40.52	6	6.03814262	FALSE	0
9	2024-06-10 10.40.54	6	5.994966443	TRUE	1
10	2024-06-10 10.40.55	6	6.088120468	FALSE	0
11	2024-06-10 10.40.57	6	5.966601179	TRUE	1
12	2024-06-10 10.40.58	6	5.950500556	TRUE	1
8	2024-06-10 10.41.53	6	6.036484245	FALSE	0
9	2024-06-10 10.41.56	6	5.993288591	TRUE	1
10	2024-06-10 10.41.57	6	6.088120468	FALSE	0
11	2024-06-10 10.41.58	6	5.962671906	TRUE	1
12	2024-06-10 10.42.00	6	5.948832036	TRUE	1
8	2024-06-10 10.42.54	6	6.029850746	FALSE	0
9	2024-06-10 10.42.57	6	5.988255034	TRUE	1
10	2024-06-10 10.42.58	6	6.086447295	FALSE	0
11	2024-06-10 10.43.00	6	5.958742633	TRUE	1
12	2024-06-10 10.43.01	6	5.953837597	TRUE	1
8	2024-06-10 10.43.55	6	6.029850746	FALSE	0
9	2024-06-10 10.43.59	6	5.986577181	TRUE	1
10	2024-06-10 10.44.00	6	6.088120468	FALSE	0
11	2024-06-10 10.44.06	6	5.95481336	TRUE	1
12	2024-06-10 10.44.07	6	5.983870968	TRUE	1
8	2024-06-10 10.44.56	6	6.024875622	FALSE	0
9	2024-06-10 10.45.00	6	5.981543624	TRUE	1
10	2024-06-10 10.45.01	6	6.079754601	FALSE	0
11	2024-06-10 10.45.11	6	5.94891945	TRUE	1
12	2024-06-10 10.45.13	6	5.988876529	TRUE	1
8	2024-06-10 10.45.57	6	6.026533997	FALSE	0
9	2024-06-10 10.46.01	6	6.030201342	FALSE	0
10	2024-06-10 10.46.03	6	6.088120468	FALSE	0
11	2024-06-10 10.46.13	6	5.94891945	TRUE	1
12	2024-06-10 10.46.14	6	5.998887653	TRUE	1
8	2024-06-10 10.46.58	6	6.023217247	FALSE	0
9	2024-06-10 10.47.03	6	6.030201342	FALSE	0
10	2024-06-10 10.47.04	6	6.088120468	FALSE	0
11	2024-06-10 10.47.14	6	5.944990177	TRUE	1
12	2024-06-10 10.47.15	6	6.02057842	FALSE	0
8	2024-06-10 10.48.00	6	6.021558872	FALSE	0
9	2024-06-10 10.48.04	6	6.025167785	FALSE	0
10	2024-06-10 10.48.05	6	6.084774122	FALSE	0
11	2024-06-10 10.48.16	6	5.939096267	TRUE	1
12	2024-06-10 10.48.17	6	6.015572859	FALSE	0
